# {"exp_name": "twodot_vr_intro", "audio_controller": {"TYPE": "sound_card", "SOUND_CARD_API": "ASIO", "SOUND_CARD_BACKEND": "rtmixer", "SOUND_CARD_NAME": "ASIO HDSPe FX", "SOUND_CARD_FS": 48000, "SOUND_CARD_TRIGGER_CHANNELS": 1}, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 35, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": 0, "full_screen": false, "force_quit": ["end", "lctrl"], "participant": "002", "monitor": null, "trigger_controller": "sound_card", "session": "foo", "check_rms": "wholefile", "suppress_resamp": false, "version": "dev", "enable_video": false, "safe_flipping": null, "n_channels": 53, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2021-05-04 16_39_13.367595", "file": "C:\\Users\\Public\\Code\\VR_Experiments\\Twodot_VR\\twodot_vr_session0.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
3.5926000620000007	flip	3.5925932350000007
3.6073633019999995	flip	3.607356759
3.614504566000001	flip	3.614500015000001
3.8017313569999995	screen_text	Subject Ready?
3.8018599260000006	flip	3.801726521000001
6.169578715000002	keypress	space
6.171870200000001	flip	6.171865649000001
6.183956532	screen_text	Checking controller, refer to debug log
6.184139715000001	flip	6.183949706
6.385847292000001	keypress	space
6.388093834999999	flip	6.388089283999999
6.397830655	screen_text	press 1 for tone and 2 for noise, press 0 to exit
6.397926798	flip	6.3978263890000004
21.625692622000003	keypress	1
21.703954405	play	None
21.704081551	flip	21.703777765
22.704199596	stop	None
22.713376061	screen_text	press 1 for tone and 2 for noise, press 0 to exit
22.713450301	flip	22.713371225
23.362054929	keypress	2
23.440089725	play	None
23.440163965	flip	23.439977085
24.440251005	stop	None
24.450727097	screen_text	press 1 for tone and 2 for noise, press 0 to exit
24.450821248	flip	24.450724537
25.401769927	keypress	0
34.853147265	tracker_identify	{"tracker_id": 1857011560344, "tracker_type": "TrackerBinom"}
34.853289487	tracker_1857011560344_init	{"callback": null, "alpha": 0.05, "chance": 0.5, "max_trials": 40, "min_trials": 10, "stop_early": true, "x_current": 0.3}
34.895403206	trial_id	dur300_sep20_center-6_lr1_none
35.791262092	play	None
35.791350838	flip	35.791148029
36.593608418	response	1
36.594870782	tracker_1857011560344_respond	True
36.60094538	stop	None
36.601875513	trial_ok	None
36.607081417	screen_text	Current p = 0.5
36.607160493	flip	36.607077435
37.655157662	trial_id	dur300_sep20_center-2_lr0_matched
38.17575173	play	None
38.175847588	flip	38.175589881
38.895329535	response	0
38.896601855	tracker_1857011560344_respond	True
38.901233181	stop	None
38.901945145	trial_ok	None
38.906453591	screen_text	Current p = 0.25
38.90657192	flip	38.906447333
39.944740962	trial_id	dur300_sep20_center-6_lr1_central
41.131282526	play	None
41.131408535	flip	41.131134615
41.86041596	response	1
41.861483765	tracker_1857011560344_respond	True
41.866016388	stop	None
41.867102682	trial_ok	None
41.872245155	screen_text	Current p = 0.125
41.872423217	flip	41.872212728
42.923962005	trial_id	dur300_sep20_center-6_lr1_matched
43.451167702	play	None
43.451240804	flip	43.451086635
44.104218198	response	1
44.105475443	tracker_1857011560344_respond	True
44.112036441	stop	None
44.113215179	trial_ok	None
44.11764654	screen_text	Current p = 0.0625
44.117709402	flip	44.117625207
45.166710376	trial_id	dur300_sep20_center2_lr1_central
46.540115496	play	None
46.54023098	flip	46.539957345
47.378246934	response	0
47.379563628	tracker_1857011560344_respond	False
47.384413407	stop	None
47.385580198	trial_ok	None
47.391828876	screen_text	Current p = 0.1875
47.391923311	flip	47.391824609
48.443212926	trial_id	dur300_sep20_center6_lr0_matched
49.140163453	play	None
49.140259311	flip	49.140017533
49.88027161	response	0
49.881510651	tracker_1857011560344_respond	True
49.887749657	stop	None
49.888892555	trial_ok	None
49.893135045	screen_text	Current p = 0.10937500000000001
49.893391614	flip	49.893130494
50.935750524	trial_id	dur300_sep20_center-6_lr0_central
52.037532739	play	None
52.037620917	flip	52.037423513
53.111880281	response	1
53.11324789	tracker_1857011560344_respond	False
53.11977703	stop	None
53.120666772	trial_ok	None
53.125268516	screen_text	Current p = 0.2265624999999998
53.125372907	flip	53.125249458
54.183700248	trial_id	dur300_sep20_center6_lr1_none
56.090349537	play	None
56.090412399	flip	56.090175741
56.8755376	response	0
56.876565583	tracker_1857011560344_respond	False
56.880914171	stop	None
56.881572091	trial_ok	None
56.887140092	screen_text	Current p = 0.3632812500000001
56.887294261	flip	56.88713355
57.925848441	trial_id	dur300_sep20_center-2_lr1_none
58.45722637	play	None
58.457286388	flip	58.457157819
59.17515525	response	1
59.176557560999996	tracker_1857011560344_respond	True
59.181450576	stop	None
59.182596034	trial_ok	None
59.188088089000004	screen_text	Current p = 0.25390625
59.188222916	flip	59.188063911
60.228655282999995	trial_id	dur300_sep20_center-6_lr0_matched
60.98118513199999	play	None
60.981372866	flip	60.98102754999999
61.69517218	response	0
61.696552305	tracker_1857011560344_respond	True
61.702841658	stop	None
61.703561586999996	trial_ok	None
61.707612646	screen_text	Current p = 0.17187499999999994
61.707695988	flip	61.707608663
62.750500337999995	trial_id	dur300_sep20_center-6_lr1_matched
63.46884763600001	play	None
63.469060969	flip	63.468603867
64.128196872	response	1
64.129342615	tracker_1857011560344_respond	True
64.134881887	stop	None
64.135875167	trial_ok	None
64.141755205	screen_text	Current p = 0.11328125000000001
64.141846227	flip	64.141735862
65.179152833	trial_id	dur300_sep20_center2_lr1_matched
65.775280576	play	None
