# {"exp_name": "twodot_vr_intro", "audio_controller": {"TYPE": "sound_card", "SOUND_CARD_API": "ASIO", "SOUND_CARD_BACKEND": "rtmixer", "SOUND_CARD_NAME": "ASIO HDSPe FX", "SOUND_CARD_FS": 48000, "SOUND_CARD_TRIGGER_CHANNELS": 1}, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 35, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": 0, "full_screen": false, "force_quit": ["end", "lctrl"], "participant": "003", "monitor": null, "trigger_controller": "sound_card", "session": "foo", "check_rms": "wholefile", "suppress_resamp": false, "version": "dev", "enable_video": false, "safe_flipping": null, "n_channels": 53, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2021-06-16 13_59_56.472697", "file": "C:\\Users\\Public\\Code\\VR_Experiments\\Twodot_VR\\twodot_vr_session0.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
3.591945400000001	flip	3.5919370000000006
3.5974095000000004	flip	3.5974031
3.6277219	flip	3.6277163999999997
3.7810219	screen_text	Subject Ready?
3.7811434000000004	flip	3.781015000000001
5.0002617	keypress	space
5.0041254	flip	5.0041205
5.016951	screen_text	Checking controller, refer to debug log
5.0170705	flip	5.016942000000001
37.3278407	keypress	space
37.331709499999995	flip	37.3317038
37.3456293	screen_text	press 1 for tone and 2 for noise, press 0 to exit
37.3457843	flip	37.345624099999995
52.618765100000005	keypress	1
52.6535174	play	None
52.653602199999995	flip	52.6533771
53.653707	stop	None
53.6642691	screen_text	press 1 for tone and 2 for noise, press 0 to exit
53.6643829	flip	53.664262699999995
58.571500400000005	keypress	2
58.611280699999995	play	None
58.6113735	flip	58.611165199999995
59.6114798	stop	None
59.6189839	screen_text	press 1 for tone and 2 for noise, press 0 to exit
59.6191343	flip	59.61897859999999
67.6957924	keypress	0
92.2053141	tracker_identify	{"tracker_id": 2077806812072, "tracker_type": "TrackerBinom"}
92.20554849999999	tracker_2077806812072_init	{"callback": null, "alpha": 0.05, "chance": 0.5, "max_trials": 40, "min_trials": 10, "stop_early": true, "x_current": 0.3}
92.2358217	trial_id	dur300_sep20_center6_lr0_none
92.9675953	play	None
92.9676558	flip	92.967449
103.2803187	response	2
103.2866593	screen_text	no response
103.286823	flip	103.28665409999999
103.2870736	stop	None
103.28826459999999	trial_ok	None
103.2940012	flip	103.29399529999999
104.3203074	trial_id	dur300_sep20_center2_lr0_none
104.8517315	play	None
104.8517975	flip	104.8516419
105.6784638	response	0
105.6849684	tracker_2077806812072_respond	True
105.6929464	stop	None
105.6936647	trial_ok	None
105.697555	screen_text	Current p = 0.5
105.6976806	flip	105.6975487
106.7230414	trial_id	dur300_sep20_center-2_lr1_matched
107.3738083	play	None
107.3739265	flip	107.37360319999999
108.5902302	response	0
108.5914983	tracker_2077806812072_respond	False
108.5966906	stop	None
108.5978416	trial_ok	None
108.6027284	screen_text	Current p = 0.75
108.60282219999999	flip	108.6027206
109.6363528	trial_id	dur300_sep20_center2_lr1_central
110.1595638	play	None
110.1596198	flip	110.1594901
111.8419311	response	0
111.8430686	tracker_2077806812072_respond	False
111.8475395	stop	None
111.8483884	trial_ok	None
111.8530765	screen_text	Current p = 0.875
111.8531438	flip	111.85307159999999
112.8870197	trial_id	dur300_sep20_center-6_lr0_none
115.9436	play	None
115.9436652	flip	115.9434833
117.9280079	response	0
117.92897289999999	tracker_2077806812072_respond	True
117.93289419999999	stop	None
117.9339294	trial_ok	None
117.9391996	screen_text	Current p = 0.6875
117.9393399	flip	117.9391893
118.9635126	trial_id	dur300_sep20_center-6_lr0_central
119.83369379999999	play	None
119.8338127	flip	119.833484
121.3928835	response	1
121.3945869	tracker_2077806812072_respond	False
121.3983293	stop	None
121.3989389	trial_ok	None
121.404015	screen_text	Current p = 0.8125
121.4041353	flip	121.4040092
122.43542719999999	trial_id	dur300_sep20_center-2_lr1_central
122.966067	play	None
122.9661208	flip	122.9659857
124.5371365	response	1
124.53818430000001	tracker_2077806812072_respond	True
124.5464389	stop	None
124.5471795	trial_ok	None
124.55201969999999	screen_text	Current p = 0.6562499999999999
124.5522962	flip	124.55198340000001
125.590768	trial_id	dur300_sep20_center6_lr0_none
128.0836192	play	None
128.08367379999999	flip	128.0834994
130.0579549	response	0
130.0591608	tracker_2077806812072_respond	True
130.0647079	stop	None
130.0656343	trial_ok	None
130.0699681	screen_text	Current p = 0.4999999999999999
130.0701324	flip	130.0699618
131.1085531	trial_id	dur300_sep20_center6_lr0_central
131.6377626	play	None
131.63781029999998	flip	131.6376972
133.8546082	response	1
133.8556584	tracker_2077806812072_respond	False
133.8624429	stop	None
133.8634487	trial_ok	None
133.8683523	screen_text	Current p = 0.6367187499999999
133.8684816	flip	133.8683451
134.8963736	trial_id	dur300_sep20_center-6_lr1_matched
135.9022639	play	None
135.9023767	flip	135.9021198
137.8881063	response	1
137.8892414	tracker_2077806812072_respond	True
137.8971947	stop	None
137.8982091	trial_ok	None
137.9016176	screen_text	Current p = 0.5000000000000001
137.9017169	flip	137.9016146
138.9305035	trial_id	dur300_sep20_center-2_lr1_central
139.4604408	play	None
139.4605527	flip	139.4603127
140.7645854	response	1
140.7658647	tracker_2077806812072_respond	True
140.7721153	stop	None
140.77318499999998	trial_ok	None
140.7781771	screen_text	Current p = 0.3769531250000001
140.7782803	flip	140.77817199999998
141.8065258	trial_id	dur300_sep20_center-2_lr1_none
142.3236424	play	None
142.3237198	flip	142.3235032
143.2849739	response	1
143.2861619	tracker_2077806812072_respond	True
143.2928233	stop	None
143.2938226	trial_ok	None
143.2981088	screen_text	Current p = 0.2744140625
143.2981914	flip	143.2981044
144.3411238	trial_id	dur300_sep20_center6_lr1_central
144.9118765	play	None
144.9119667	flip	144.9117802
146.0069947	response	1
146.0082679	tracker_2077806812072_respond	True
146.01554579999998	stop	None
146.0164894	trial_ok	None
146.0197528	screen_text	Current p = 0.19384765625000006
146.0198863	flip	146.0197483
147.0478151	trial_id	dur300_sep20_center6_lr1_central
148.3323556	play	None
148.3324063	flip	148.3322045
149.3135833	response	1
149.3146432	tracker_2077806812072_respond	True
149.3194306	stop	None
149.320353	trial_ok	None
149.3253253	screen_text	Current p = 0.13342285156249992
149.3254348	flip	149.325318
150.3656315	trial_id	dur300_sep20_center-6_lr1_central
151.3734645	play	None
151.373523	flip	151.373293
152.5660288	response	1
152.567074	tracker_2077806812072_respond	True
152.5721498	stop	None
152.5733668	trial_ok	None
152.5797481	screen_text	Current p = 0.08978271484375001
152.5798642	flip	152.57974339999998
153.60736839999998	trial_id	dur300_sep20_center-2_lr0_matched
154.1383181	play	None
154.1383738	flip	154.13813679999998
155.3095357	response	0
155.3106357	tracker_2077806812072_respond	True
155.31584949999998	stop	None
155.3170906	trial_ok	None
155.3220945	screen_text	Current p = 0.059234619140624986
155.32219369999999	flip	155.3220857
